t	K	U	E	T	P
13540	913.7783816559288	-4883.010405963318	-3969.2320243073905	0.7050759117715498	0.6203216892179612
13560	897.6356440408188	-4865.42636327656	-3967.7907192357407	0.6926200957105083	0.49218300254632374
13580	910.3050052945197	-4856.587770185728	-3946.2827648912084	0.7023958374186107	0.42222622778557783
13600	922.3254687271207	-4858.241466244431	-3935.9159975173106	0.7116708863635192	0.46912123356109764
13620	907.7441018684492	-4842.814037589436	-3935.069935720985	0.7004198316886181	0.3989916432761263
13640	930.1620660782625	-4873.828172635596	-3943.666106557334	0.7177176435789061	0.5599527654366125
13660	919.0476058447651	-4862.675953362124	-3943.6283475173586	0.7091416711765164	0.4723858754429999
13680	917.0772152729198	-4861.694931069383	-3944.6177157964617	0.7076213080809566	0.4759769547450345
13700	924.7489530434877	-4868.836107145342	-3944.0871541018532	0.7135408588298517	0.5776063359512639
13720	916.9055533568683	-4858.564979230512	-3941.659425873644	0.707488852898818	0.48089789139800343
13740	920.0625535928133	-4855.229635116474	-3935.167081523662	0.7099248098709978	0.41204980766008764
13760	929.2050209053061	-4857.318282912764	-3928.113262007457	0.716979182797304	0.39553084733292304
13780	941.6380564111026	-4875.856593835867	-3934.218537424764	0.7265725743912828	0.4914365439505789
13800	910.3866173522345	-4843.668111648605	-3933.2814942963705	0.7024588096853661	0.31928091836590977
13820	917.5053633104401	-4854.431690361757	-3936.9263270513193	0.7079516692210184	0.39835924193233196
13840	922.3449222327897	-4847.718631655147	-3925.373709422359	0.7116858967845602	0.3605832117382203
13860	928.8856814209308	-4854.192670843597	-3925.3069894226646	0.7167327788741751	0.45780672877390016
13880	936.4156562432909	-4865.938919344839	-3929.5232631015483	0.722542944632169	0.5144962920928458
13900	934.224992611354	-4859.043172981751	-3924.818180370397	0.7208526177556743	0.4653334932933901
13920	916.3242703198606	-4841.560189215595	-3925.235918895733	0.7070403320369294	0.3629119529310705
13940	925.143095888815	-4851.583378705244	-3926.4402828164298	0.7138449813956905	0.4081860621863699
13960	937.2762451582369	-4860.365818988699	-3923.089573830462	0.7232069792887631	0.42536569164338733
13980	929.4930576483775	-4844.912631187729	-3915.4195735393528	0.7172014333706619	0.3391467992969871
14000	941.7299743685064	-4852.6297059877925	-3910.8997316192863	0.7266434987411318	0.44007984565295183
14020	934.9071194132248	-4852.012512031137	-3917.105392617912	0.7213789501645254	0.3973559700556322
14040	922.6581846130739	-4844.266148707329	-3921.6079640942544	0.711927611584162	0.29502458627527417
14060	914.6941496140322	-4848.468848855434	-3933.774699241401	0.7057825228503334	0.32305237684317933
14080	937.2558785231146	-4873.414442609771	-3936.1585640866565	0.7231912642925264	0.48452459951731824
14100	937.2720351869241	-4878.38220682508	-3941.110171638155	0.7232037308541083	0.5057118056339279
14120	952.9023393132375	-4889.026708835285	-3936.1243695220473	0.7352641507046586	0.5934799175580262
14140	917.1780636018339	-4852.019611073252	-3934.841547471418	0.7076991231495632	0.34472706359852145
14160	930.7547366827617	-4856.19705445835	-3925.44231777559	0.7181749511441063	0.39570642386295113
14180	924.0601633409154	-4849.783304248896	-3925.7231409079805	0.7130093852939162	0.3882210199482662
14200	923.7573014684515	-4847.748927779743	-3923.9916263112914	0.7127756955775089	0.35553566245447465
14220	932.5477038621132	-4853.180221158437	-3920.6325172963247	0.7195584134738529	0.40132274771768656
14240	950.2226857195525	-4877.796770994173	-3927.5740852746194	0.7331965167589141	0.6049358198444449
14260	967.1054322931852	-4880.592529750718	-3913.487097457533	0.7462233273867172	0.633446601431745
14280	952.3853379838905	-4856.903073340491	-3904.5177353566005	0.7348652299258414	0.4095953457183688
14300	937.9723465430764	-4840.803490143931	-3902.8311436008553	0.7237440945548427	0.25442942905883886
